gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,1,0,40,0,No,DSL,No_internet_service,Yes,No_internet_service,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),116.5099091,1968.691369,0
0,1,1,0,9,1,No_phone_service,DSL,No,No_internet_service,No,Yes,No,No,Month_to_month,No,Bank_transfer_(automatic),91.19730772,1642.698199,0
1,1,1,1,15,0,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Yes,No,One_year,No,Bank_transfer_(automatic),43.66,4982.35,0
0,0,0,1,2,1,Yes,No,No,No,No,Yes,No,No,Month_to_month,No,Credit_card_(automatic),116.0184839,2855.366125,0
0,0,0,0,61,1,No_phone_service,DSL,No,Yes,No,No_internet_service,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),44.55150387,3078.155814,0
0,0,0,1,31,1,Yes,No,Yes,No,Yes,No_internet_service,No,No,Month_to_month,Yes,Credit_card_(automatic),92.75647221,4836.200239,0
0,1,1,1,62,1,No_phone_service,DSL,No,No_internet_service,No_internet_service,No,No,No,Month_to_month,Yes,Bank_transfer_(automatic),96.29,3792.57,0
0,0,1,1,60,0,No,DSL,No,No,No_internet_service,No,No,No,Month_to_month,No,Bank_transfer_(automatic),40.84679759,233.9883674,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,1,0,28,1,No,DSL,No_internet_service,No,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),105.9156497,3359.290487,0
1,0,0,0,64,0,No_phone_service,DSL,No,Yes,No_internet_service,No_internet_service,No,No,One_year,No,Electronic_check,83.20496184,3051.124462,0
0,1,0,0,6,0,Yes,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No_internet_service,One_year,No,Bank_transfer_(automatic),55.52274199,2231.879924,0
1,1,1,0,56,0,No_phone_service,No,No,No,No_internet_service,Yes,No,No_internet_service,One_year,No,Bank_transfer_(automatic),71.19284374,3114.741612,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,31,1,No_phone_service,DSL,Yes,No,No,No,No_internet_service,No_internet_service,Two_year,Yes,Bank_transfer_(automatic),93.73445254,4189.773726,0
0,0,1,0,64,1,No,DSL,No,No,No,No_internet_service,No,Yes,Month_to_month,Yes,Electronic_check,107.2622556,2039.630061,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,1,0,44,1,No_phone_service,DSL,No_internet_service,No,No,Yes,No,No_internet_service,Month_to_month,No,Electronic_check,50.48,2430.55,0
0,1,0,0,35,1,No_phone_service,No,No,No_internet_service,No_internet_service,Yes,No,No,Month_to_month,No,Bank_transfer_(automatic),36.13359462,1068.073265,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,0,38,0,No_phone_service,No,No,No,No,No,No,Yes,One_year,No,Mailed_check,118.7424691,2829.614081,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,57,1,No,DSL,No_internet_service,Yes,No,No_internet_service,No,No,Two_year,No,Credit_card_(automatic),57.86929152,3529.247844,0
0,0,1,0,39,1,No,No,Yes,No,No_internet_service,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),108.7614834,2058.396366,0
0,1,0,1,7,1,Yes,DSL,No,Yes,No,No,No,No_internet_service,One_year,No,Credit_card_(automatic),27.03009908,820.9166077,0
1,1,1,1,40,0,No,DSL,Yes,No,No,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),103.2188411,854.8459058,0
0,0,1,1,60,1,Yes,Fiber_optic,Yes,No,Yes,No,No,No,Month_to_month,No,Credit_card_(automatic),95.57,1826.1,0
0,1,1,0,44,1,No,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No,Month_to_month,Yes,Bank_transfer_(automatic),108.0798656,442.1234243,0
1,0,1,0,5,0,No,DSL,No_internet_service,No_internet_service,Yes,Yes,No,No,One_year,Yes,Bank_transfer_(automatic),53.10824029,3497.661808,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,34,0,No,DSL,No_internet_service,No,No,No,No,No,One_year,No,Bank_transfer_(automatic),86.98066186,4207.796797,0
1,1,0,1,53,1,No,Fiber_optic,No,No,No,No,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),34.49394622,463.4745187,0
0,1,1,0,14,1,No,DSL,No,No,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),92.61937476,1960.487475,0
0,1,0,1,64,1,No_phone_service,DSL,No,No_internet_service,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),81.31278518,697.326468,0
0,0,1,0,12,1,No,DSL,No,No,No,No,No_internet_service,No,Month_to_month,No,Electronic_check,82.44,4674.35,0
0,0,0,1,52,0,No,No,No,No,No,No_internet_service,No_internet_service,No,Month_to_month,Yes,Bank_transfer_(automatic),55.81,1826.37,0
0,1,1,0,15,0,No,DSL,No_internet_service,No_internet_service,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),113.36,4411.36,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,1,17,1,No,DSL,No,No,No_internet_service,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),116.2971873,1461.87743,0
0,1,1,0,5,0,No,DSL,No,No_internet_service,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),57.45231823,3206.320461,0
1,0,1,1,48,0,Yes,No,No,No_internet_service,Yes,No,Yes,Yes,One_year,No,Bank_transfer_(automatic),24.6692238,1537.276201,0
0,1,1,1,51,0,No,Fiber_optic,No_internet_service,No_internet_service,No_internet_service,No,No,No,Two_year,No,Bank_transfer_(automatic),56.3338457,544.8089759,0
0,1,0,0,57,0,No_phone_service,DSL,No_internet_service,No_internet_service,No_internet_service,No,No,No,Month_to_month,No,Bank_transfer_(automatic),72.86163572,2396.54593,0
1,0,1,1,27,1,No_phone_service,Fiber_optic,No,No,Yes,No_internet_service,No,No_internet_service,Month_to_month,No,Credit_card_(automatic),73.95,3407.16,0
1,0,1,0,32,0,No,DSL,No,No_internet_service,No_internet_service,No,No,Yes,Month_to_month,No,Credit_card_(automatic),63.84104055,1959.067001,0
0,1,1,0,54,0,No,DSL,No_internet_service,No_internet_service,No,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),48.65383297,1336.616952,0
0,1,1,0,46,0,No_phone_service,DSL,No,No,No,No,Yes,No,Month_to_month,No,Bank_transfer_(automatic),33.33,2878.5,0
1,0,0,0,7,0,Yes,No,No,No,No,No,No_internet_service,No,Month_to_month,Yes,Mailed_check,115.8581415,4866.715179,0
0,1,0,1,8,0,No,DSL,No,No,No_internet_service,Yes,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),23.89755378,1185.86355,0
0,0,0,1,39,0,No,No,No,No_internet_service,No,Yes,No_internet_service,No,One_year,Yes,Electronic_check,40.60455583,4477.649456,0
0,0,0,0,34,0,Yes,DSL,No,No,No,Yes,No_internet_service,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),101.65,2460.83,0
0,1,0,0,44,0,No,DSL,No,No_internet_service,No,No,No,No_internet_service,Month_to_month,No,Credit_card_(automatic),61.22946818,3408.153834,0
1,1,1,0,19,0,No,Fiber_optic,No,No,No_internet_service,No,No_internet_service,No,One_year,Yes,Electronic_check,20.345845,1761.684558,0
0,1,0,0,1,1,No_phone_service,DSL,No,No,No_internet_service,No,No_internet_service,No,One_year,No,Bank_transfer_(automatic),39.30938555,4823.022118,0
1,1,0,1,27,1,No_phone_service,Fiber_optic,Yes,No,No_internet_service,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),70.99961365,4488.99561,0
0,0,0,1,60,0,No,DSL,No,No,No,No,No,No,Month_to_month,No,Mailed_check,76.55478318,4456.585465,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,34,0,No,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No,One_year,Yes,Bank_transfer_(automatic),22.98,3052.48,0
1,1,0,0,50,0,No,DSL,No_internet_service,Yes,No,No,No,No,Month_to_month,No,Bank_transfer_(automatic),40.93,1905.89,0
0,1,1,1,39,1,No,DSL,No,No_internet_service,Yes,No,No,No,One_year,No,Mailed_check,36.19534443,3666.592791,0
1,0,1,1,57,0,No,DSL,No,Yes,No,No_internet_service,No,No,One_year,No,Mailed_check,81.66317866,1311.792655,0
0,0,1,0,46,0,No,Fiber_optic,No,No,No,No,No_internet_service,Yes,One_year,Yes,Electronic_check,112.2635987,457.708993,0
1,0,0,0,14,1,No_phone_service,DSL,No,No_internet_service,No,No_internet_service,No_internet_service,No_internet_service,Two_year,Yes,Bank_transfer_(automatic),55.26041187,1212.084565,0
1,1,0,1,32,1,No,No,No_internet_service,No,No,No_internet_service,No_internet_service,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),99.19254641,1102.473991,0
0,0,0,1,21,1,No,DSL,No,No,No,No,No,No_internet_service,Month_to_month,No,Credit_card_(automatic),70.9,1627.62,0
1,1,0,0,46,0,No_phone_service,Fiber_optic,No,No,Yes,No,No,No_internet_service,One_year,No,Bank_transfer_(automatic),21.75604837,2756.713055,0
1,1,1,0,56,1,No,Fiber_optic,Yes,No,No_internet_service,No,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),38.16,2629.36,0
0,1,0,0,19,1,No_phone_service,Fiber_optic,Yes,Yes,No,No,No,No,Month_to_month,No,Bank_transfer_(automatic),71.08399202,777.6277902,0
0,1,0,0,69,0,No,DSL,No,No,No,No,No,No,One_year,No,Credit_card_(automatic),115.2349575,1737.918316,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,63,1,No,DSL,No_internet_service,No,No,Yes,Yes,No,One_year,No,Bank_transfer_(automatic),47.08,887.74,0
1,0,1,0,13,1,No_phone_service,DSL,Yes,No,Yes,No,Yes,No,Month_to_month,No,Bank_transfer_(automatic),52.46281601,1207.588281,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,63,0,No_phone_service,DSL,No,No,No_internet_service,No_internet_service,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),86.73640705,2887.204416,0
1,0,1,1,34,0,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,No,Credit_card_(automatic),34.23,4966.96,0
1,0,0,1,37,0,Yes,No,No,No_internet_service,No_internet_service,No,No,No_internet_service,One_year,No,Bank_transfer_(automatic),84.09,901.92,0
1,1,1,1,9,1,No,No,Yes,Yes,No,No,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),82.28492723,407.8816661,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,62,1,No,No,No_internet_service,No,No_internet_service,No_internet_service,No_internet_service,Yes,Two_year,No,Bank_transfer_(automatic),63.44656026,3989.308339,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,0,0,4,1,Yes,Fiber_optic,No,No,No,Yes,No,No_internet_service,Month_to_month,Yes,Credit_card_(automatic),71.67049652,792.1728093,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,60,0,No_phone_service,Fiber_optic,No,No_internet_service,No_internet_service,No,No_internet_service,No_internet_service,Month_to_month,Yes,Electronic_check,102.2910911,2161.026557,0
1,0,0,1,63,1,Yes,Fiber_optic,No,No,No_internet_service,No,No,No,Two_year,Yes,Bank_transfer_(automatic),68.42213695,1010.154021,0
1,0,0,0,45,0,No,DSL,No,No_internet_service,No,No,No,No,Month_to_month,Yes,Credit_card_(automatic),43.27332678,4137.155265,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,1,0,34,1,Yes,DSL,No,No_internet_service,No,Yes,Yes,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),59.46936453,3380.248018,0
0,0,1,0,45,1,No,DSL,No,No,No_internet_service,No,No,No,Month_to_month,Yes,Credit_card_(automatic),47.82988134,4057.711853,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,25,0,No_phone_service,DSL,No_internet_service,No,No_internet_service,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),98.16649966,2491.983655,0
0,0,1,0,71,1,Yes,DSL,Yes,No,No,No,No,No,Month_to_month,No,Electronic_check,94.86,1621.42,0
0,1,0,0,38,1,No,DSL,No,No_internet_service,No,No,No,No,Two_year,No,Bank_transfer_(automatic),75.12850279,4409.060391,0
0,1,1,1,11,0,No,DSL,No,Yes,No,Yes,Yes,Yes,Month_to_month,No,Credit_card_(automatic),57.24707324,3772.674118,0
0,0,1,1,14,1,No,DSL,No,No_internet_service,No,Yes,No,No,Month_to_month,Yes,Bank_transfer_(automatic),92.9736958,1896.373323,0
1,0,0,0,36,1,No_phone_service,Fiber_optic,No,No_internet_service,Yes,No,No,Yes,Month_to_month,Yes,Electronic_check,102.2134244,3852.362756,1
0,1,1,1,17,0,No_phone_service,DSL,No,No,No,No,No_internet_service,No_internet_service,Two_year,No,Bank_transfer_(automatic),83.81695608,4049.828453,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,1,61,0,No,DSL,No,No,No,No,No,No,Month_to_month,Yes,Bank_transfer_(automatic),61.68913511,1428.066441,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,46,0,No,DSL,No,No,No,No_internet_service,No,No,Month_to_month,Yes,Bank_transfer_(automatic),74.29973103,4377.874719,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,66,1,Yes,DSL,No,Yes,No_internet_service,No,No,No,Two_year,No,Bank_transfer_(automatic),48.72326649,3656.789317,0
0,1,0,1,72,0,Yes,No,No,No_internet_service,No,No_internet_service,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),113.1917312,1540.725177,0
0,1,0,0,18,0,No_phone_service,DSL,No,Yes,No,No,No,No,Two_year,No,Bank_transfer_(automatic),45.53416335,2919.502976,0
1,1,1,0,1,1,No,DSL,No,No,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),94.09153109,4659.081123,0
0,0,1,1,34,0,No,DSL,No,No,No_internet_service,No,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),106.1000295,2938.908416,0
1,1,0,0,18,0,Yes,DSL,No,No_internet_service,No,No_internet_service,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),33.65150485,3246.005102,0
1,1,1,0,10,0,No,Fiber_optic,No_internet_service,Yes,No_internet_service,No,No,No_internet_service,Month_to_month,Yes,Credit_card_(automatic),24.71263529,4341.82755,0
1,1,0,0,33,1,No,DSL,No,No,No,Yes,No,No,Two_year,No,Credit_card_(automatic),83.84638967,3353.907474,0
1,0,0,0,13,0,No,DSL,No_internet_service,No,No,No,No,No,Month_to_month,Yes,Bank_transfer_(automatic),25.53,3750.02,0
1,1,1,0,56,1,Yes,DSL,No_internet_service,No,No,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),87.99080424,2472.775696,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,0,0,31,0,Yes,DSL,Yes,No,No,No_internet_service,No,No,Month_to_month,Yes,Credit_card_(automatic),101.093398,4296.865684,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,1,67,0,No,Fiber_optic,No,No,No_internet_service,No_internet_service,No,Yes,Month_to_month,Yes,Bank_transfer_(automatic),116.1390104,3389.779415,0
1,1,0,0,28,0,No_phone_service,DSL,No,No,No,No,Yes,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),60.43,1446.41,0
0,1,1,1,59,1,No_phone_service,DSL,No,Yes,No,No_internet_service,No,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),54.69153464,1560.149524,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,57,1,No,DSL,No,No_internet_service,No,No_internet_service,Yes,Yes,Month_to_month,No,Bank_transfer_(automatic),25.48351851,4923.187377,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,72,0,No_phone_service,No,No,No_internet_service,No,No,No_internet_service,No,One_year,No,Credit_card_(automatic),26.27609996,210.6587118,0
1,0,1,1,51,1,No,DSL,No,No,No_internet_service,No,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),101.366974,3192.946198,0
0,1,0,0,13,0,No,DSL,No_internet_service,No,No,No_internet_service,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),28.97,3889.98,0
1,0,0,1,50,1,No_phone_service,DSL,No_internet_service,No,No_internet_service,No,No_internet_service,No,Two_year,Yes,Bank_transfer_(automatic),71.34928809,3111.467,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,0,49,0,No,Fiber_optic,No,No,Yes,Yes,No,No_internet_service,Month_to_month,Yes,Electronic_check,96.45949729,3764.658237,0
1,0,1,1,9,1,Yes,DSL,No_internet_service,No,Yes,No,No_internet_service,Yes,Month_to_month,No,Bank_transfer_(automatic),29.64,289.46,0
0,0,0,0,32,1,No_phone_service,DSL,No_internet_service,No,No,No,No_internet_service,No,Two_year,Yes,Bank_transfer_(automatic),39.7,1472.87,0
0,1,0,1,49,1,No,Fiber_optic,Yes,No_internet_service,No,No,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),28.6,731.47,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,0,72,0,No_phone_service,Fiber_optic,Yes,No,Yes,No,No,Yes,Two_year,Yes,Bank_transfer_(automatic),44.99,2795.47,0
0,1,1,1,69,0,No,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),102.1678318,2558.008106,0
0,1,1,1,1,1,No,DSL,No,Yes,No,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),109.72,4263.6,0
0,0,1,1,2,1,Yes,No,No,No,No,No,No_internet_service,No,One_year,No,Bank_transfer_(automatic),87.11362041,2950.869688,0
0,0,0,0,11,1,No_phone_service,No,Yes,No,No,No,No,No,One_year,Yes,Bank_transfer_(automatic),114.8963817,1802.031107,0
1,0,0,1,28,1,No,Fiber_optic,No,No,No,Yes,No,Yes,Month_to_month,No,Credit_card_(automatic),21.4015792,3691.607096,0
1,0,0,1,41,0,No,DSL,No_internet_service,Yes,No,No,Yes,No,One_year,No,Bank_transfer_(automatic),68.36159493,3813.608904,0
0,0,1,1,16,1,No,Fiber_optic,No,No,No_internet_service,No,No_internet_service,No,Month_to_month,No,Credit_card_(automatic),67.49977277,1092.712532,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,0,59,0,No_phone_service,Fiber_optic,No_internet_service,Yes,No_internet_service,No_internet_service,No,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),110.9124041,1004.067499,0
1,1,0,0,37,0,No,DSL,No,No,No,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),97.17223103,3040.49871,0
1,1,0,0,45,1,Yes,Fiber_optic,No_internet_service,No,No,Yes,No,No,One_year,No,Mailed_check,93.61961325,591.145125,0
0,0,1,0,64,0,No,Fiber_optic,No,No,Yes,No,No_internet_service,No,Month_to_month,Yes,Bank_transfer_(automatic),44.72038876,1222.10921,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,0,1,47,1,Yes,DSL,No,No_internet_service,No_internet_service,No,No,No,Month_to_month,No,Credit_card_(automatic),20.96,4163.85,0
0,0,1,0,68,0,No,Fiber_optic,Yes,No,No,Yes,No,No,Month_to_month,No,Credit_card_(automatic),25.40599568,770.1013668,0
1,0,1,0,26,1,No_phone_service,DSL,No,No,No_internet_service,No,Yes,No_internet_service,One_year,Yes,Electronic_check,71.48,1076.9,0
0,0,0,1,39,1,No,DSL,No,No,No,No,No_internet_service,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),26.12239118,119.9698667,0
0,0,1,1,58,1,No,DSL,No,No,No,No_internet_service,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),31.95993294,2251.096787,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,37,1,No,DSL,No_internet_service,Yes,No,No,No_internet_service,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),69.3963469,605.90096,0
0,1,0,1,8,0,No,Fiber_optic,No,No,No,No,No,No,Month_to_month,No,Bank_transfer_(automatic),44.0583617,727.8469906,0
1,0,1,0,49,0,No,DSL,No,No_internet_service,Yes,No,No,No,Month_to_month,No,Credit_card_(automatic),76.47163132,480.2749719,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,0,0,46,0,No,DSL,No,No_internet_service,Yes,No_internet_service,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),60.52,2165.62,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,38,1,No,Fiber_optic,No_internet_service,No,No_internet_service,No_internet_service,No_internet_service,Yes,Month_to_month,No,Bank_transfer_(automatic),75.81,546.45,0
1,1,1,0,10,1,No,DSL,No,No_internet_service,No,No_internet_service,No_internet_service,No,One_year,No,Credit_card_(automatic),112.4328984,417.92912,0
1,1,1,1,57,1,No,DSL,No,No,No_internet_service,No,No,No,Month_to_month,No,Credit_card_(automatic),102.4667902,4207.498216,0
0,0,0,0,7,1,No,No,No,No_internet_service,No,No,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),82.09708119,790.0861411,0
0,1,1,0,17,0,No,DSL,No_internet_service,No,Yes,Yes,No,Yes,Month_to_month,Yes,Credit_card_(automatic),86.96158144,2883.935201,0
